iter	Passed	Remaining
0	0	69
1	1	57
2	1	52
3	1	47
4	2	46
5	2	45
6	3	45
7	3	44
8	4	43
9	4	43
10	5	43
11	5	43
12	6	43
13	7	43
14	7	43
15	8	43
16	8	42
17	9	42
18	9	42
19	10	42
20	11	41
21	11	40
22	12	40
23	12	40
24	13	39
25	13	39
26	14	39
27	15	39
28	15	38
29	16	38
30	16	37
31	17	37
32	18	36
33	18	36
34	19	36
35	20	36
36	21	36
37	22	36
38	23	36
39	23	35
40	25	36
41	26	36
42	27	36
43	28	35
44	29	36
45	30	36
46	31	35
47	32	35
48	33	35
49	34	34
50	35	34
51	36	33
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	41	29
58	42	29
59	43	28
60	44	28
61	45	27
62	45	26
63	46	26
64	47	25
65	48	25
66	49	24
67	50	23
68	51	23
69	52	22
70	53	21
71	54	21
72	55	20
73	56	19
74	56	18
75	57	18
76	58	17
77	59	16
78	60	16
79	60	15
80	61	14
81	62	13
82	62	12
83	63	12
84	64	11
85	65	10
86	66	9
87	67	9
88	68	8
89	69	7
90	69	6
91	70	6
92	71	5
93	72	4
94	73	3
95	73	3
96	74	2
97	75	1
98	75	0
99	76	0
