iter	Passed	Remaining
0	0	711
1	1	611
2	1	594
3	2	596
4	3	602
5	3	593
6	4	593
7	4	584
8	5	588
9	5	582
10	6	588
11	7	590
12	7	590
13	8	590
14	9	591
15	9	587
16	10	590
17	10	587
18	11	585
19	11	583
20	12	576
21	12	573
22	13	572
23	14	570
24	14	567
25	15	566
26	15	562
27	16	560
28	16	560
29	17	560
30	17	561
31	18	560
32	19	561
33	19	560
34	20	562
35	21	562
36	21	564
37	22	564
38	22	563
39	23	561
40	24	563
41	24	564
42	25	563
43	25	562
44	26	562
45	27	560
46	27	560
47	28	560
48	28	557
49	29	555
50	29	553
51	30	552
52	30	552
53	31	551
54	32	551
55	32	550
56	33	549
57	33	549
58	34	549
59	35	549
60	35	548
61	36	547
62	36	545
63	37	544
64	37	544
65	38	544
66	38	542
67	39	542
68	40	541
69	40	539
70	41	537
71	41	536
72	42	537
73	42	537
74	43	535
75	44	535
76	44	534
77	45	532
78	45	531
79	46	531
80	46	528
81	47	527
82	47	523
83	48	523
84	48	522
85	49	522
86	49	523
87	50	523
88	51	524
89	51	523
90	52	522
91	52	522
92	53	522
93	54	522
94	54	521
95	55	521
96	55	520
97	56	520
98	57	519
99	57	519
100	58	518
101	58	518
102	59	517
103	60	517
104	60	517
105	61	516
106	61	515
107	62	516
108	63	516
109	63	516
110	64	516
111	65	515
112	65	515
113	66	515
114	66	515
115	67	514
116	67	513
117	68	512
118	69	512
119	69	511
120	70	511
121	70	509
122	71	509
123	71	508
124	72	508
125	73	507
126	73	506
127	74	506
128	74	506
129	75	505
130	76	505
131	76	504
132	77	503
133	77	503
134	78	503
135	78	501
136	79	500
137	79	498
138	80	497
139	80	495
140	81	494
141	81	491
142	81	490
143	82	489
144	82	487
145	83	486
146	83	484
147	83	483
148	84	482
149	84	480
150	85	479
151	85	478
152	86	476
153	86	475
154	86	473
155	87	472
156	87	471
157	88	470
158	88	468
159	89	467
160	89	465
161	89	464
162	90	463
163	90	462
164	91	461
165	91	460
166	92	459
167	92	459
168	93	459
169	93	458
170	94	457
171	94	457
172	95	456
173	95	455
174	96	453
175	96	452
176	97	451
177	97	450
